seccion,lista_nominal,votos,participacion,coalicion,morena,margen,prioridad
4121,3954,2647,66.9,908,1023,-115,COMPETITIVA
4122,3056,2093,68.5,690,830,-140,COMPETITIVA
4123,3269,2263,69.2,915,740,175,DEFENDER_EXPANDIR
4124,2083,1629,78.2,918,472,446,DEFENDER_EXPANDIR
4125,1932,1484,76.8,792,453,339,DEFENDER_EXPANDIR
4126,4938,3326,67.4,1100,1323,-223,RECUPERAR_OPOSICION
4128,3277,2374,72.4,767,870,-103,COMPETITIVA
4129,4631,3513,75.9,1403,1095,308,DEFENDER_EXPANDIR
4130,4721,3491,73.9,1382,1035,347,DEFENDER_EXPANDIR
4131,4388,3067,69.9,1119,1035,84,COMPETITIVA
4132,2943,2171,73.8,825,717,108,COMPETITIVA
4133,1980,1467,74.1,578,522,56,COMPETITIVA
4134,4185,3004,71.8,949,1180,-231,RECUPERAR_OPOSICION
4135,5997,4321,72.1,1410,1666,-256,RECUPERAR_OPOSICION
4136,2383,1759,73.8,511,658,-147,COMPETITIVA
4137,2936,2058,70.1,550,806,-256,RECUPERAR_OPOSICION
4138,4142,2861,69.1,788,1095,-307,RECUPERAR_OPOSICION
4139,2257,1607,71.2,624,549,75,COMPETITIVA
4140,5311,4002,75.4,1986,1053,933,DEFENDER_EXPANDIR
4141,3895,2649,68.0,1012,1025,-13,ALTA_PERSUADIBLE
6673,1335,1045,78.3,370,430,-60,COMPETITIVA
6674,2132,1606,75.3,531,677,-146,COMPETITIVA
